========================================
Log file: /home/yh/FPGA_Work/FPL_AE/Log/seg_land.log
Started : 2026-06-08T14:44:38+02:00
========================================
interrupt_selection .
xdma                   98304  0
Loading driver...insmod xdma.ko interrupt_mode=2 ...

The Kernel module installed correctly and the xmda devices were recognized.
DONE
PCIE XDMA RUN OK
XDMA/UART permission OK
===== SegNet @ Land Segmentation =====
========================================
PAT 写入 + 读回校验
========================================
PAT 文件   : layer1_weight_DDR.pat
写设备     : /dev/xdma0_h2c_0
读设备     : /dev/xdma0_c2h_0
起始地址   : 0x0
逐行校验   : False
========================================
[OK] 写入并校验成功
有效行数   : 1440
总字节数   : 46080 (0xB400)
[UART] open /dev/ttyUSB0 @ 115200 bps, timeout=5s
[DATASET] loading seg labels from ./Label_New_64.npy ...
[DATASET] total=12764, test_offset=10211, test_samples=2553
[BENCH] baseline trigger ...
[BENCH] t0 cycles=0 seconds=0
Image    81: pixAcc(this)= 98.56%  running pixAcc= 98.72%  IoU_fg=0.9211
Image    82: pixAcc(this)= 98.19%  running pixAcc= 98.71%  IoU_fg=0.9207
Image    83: pixAcc(this)= 98.61%  running pixAcc= 98.71%  IoU_fg=0.9206
Image    84: pixAcc(this)= 97.31%  running pixAcc= 98.69%  IoU_fg=0.9196
Image    85: pixAcc(this)= 98.97%  running pixAcc= 98.70%  IoU_fg=0.9198
Image    86: pixAcc(this)= 99.29%  running pixAcc= 98.70%  IoU_fg=0.9202
Image    87: pixAcc(this)= 96.14%  running pixAcc= 98.67%  IoU_fg=0.9186
Image    88: pixAcc(this)= 98.78%  running pixAcc= 98.67%  IoU_fg=0.9188
Image    89: pixAcc(this)= 99.17%  running pixAcc= 98.68%  IoU_fg=0.9193
Image    90: pixAcc(this)= 99.29%  running pixAcc= 98.69%  IoU_fg=0.9196
Image    91: pixAcc(this)= 98.83%  running pixAcc= 98.69%  IoU_fg=0.9197
Image    92: pixAcc(this)= 98.83%  running pixAcc= 98.69%  IoU_fg=0.9196
Image    93: pixAcc(this)= 99.63%  running pixAcc= 98.70%  IoU_fg=0.9202
Image    94: pixAcc(this)= 99.02%  running pixAcc= 98.70%  IoU_fg=0.9203
Image    95: pixAcc(this)= 97.09%  running pixAcc= 98.69%  IoU_fg=0.9192
Image    96: pixAcc(this)= 98.29%  running pixAcc= 98.68%  IoU_fg=0.9191
Image    97: pixAcc(this)= 98.73%  running pixAcc= 98.68%  IoU_fg=0.9190
Image    98: pixAcc(this)= 99.29%  running pixAcc= 98.69%  IoU_fg=0.9195
Image    99: pixAcc(this)= 97.53%  running pixAcc= 98.68%  IoU_fg=0.9187
Image   100: pixAcc(this)= 99.32%  running pixAcc= 98.68%  IoU_fg=0.9190
Image   101: pixAcc(this)= 99.44%  running pixAcc= 98.69%  IoU_fg=0.9194
Image   102: pixAcc(this)= 98.75%  running pixAcc= 98.69%  IoU_fg=0.9194
Image   103: pixAcc(this)= 98.32%  running pixAcc= 98.69%  IoU_fg=0.9191
Image   104: pixAcc(this)= 99.17%  running pixAcc= 98.69%  IoU_fg=0.9192
Image   105: pixAcc(this)= 98.78%  running pixAcc= 98.69%  IoU_fg=0.9193
Image   106: pixAcc(this)= 98.32%  running pixAcc= 98.69%  IoU_fg=0.9192
Image   107: pixAcc(this)= 97.75%  running pixAcc= 98.68%  IoU_fg=0.9191
Image   108: pixAcc(this)= 98.75%  running pixAcc= 98.68%  IoU_fg=0.9190
Image   109: pixAcc(this)= 99.29%  running pixAcc= 98.69%  IoU_fg=0.9193
Image   110: pixAcc(this)= 98.90%  running pixAcc= 98.69%  IoU_fg=0.9194
Image   111: pixAcc(this)= 98.95%  running pixAcc= 98.69%  IoU_fg=0.9196
Image   112: pixAcc(this)= 99.27%  running pixAcc= 98.70%  IoU_fg=0.9199
Image   113: pixAcc(this)= 99.00%  running pixAcc= 98.70%  IoU_fg=0.9203
Image   114: pixAcc(this)= 99.10%  running pixAcc= 98.70%  IoU_fg=0.9205
Image   115: pixAcc(this)= 98.85%  running pixAcc= 98.70%  IoU_fg=0.9205
Image   116: pixAcc(this)= 98.34%  running pixAcc= 98.70%  IoU_fg=0.9203
Image   117: pixAcc(this)= 98.51%  running pixAcc= 98.70%  IoU_fg=0.9202
Image   118: pixAcc(this)= 99.15%  running pixAcc= 98.70%  IoU_fg=0.9204
Image   119: pixAcc(this)= 99.19%  running pixAcc= 98.71%  IoU_fg=0.9207
Image   120: pixAcc(this)= 98.90%  running pixAcc= 98.71%  IoU_fg=0.9207
Image   121: pixAcc(this)= 98.44%  running pixAcc= 98.71%  IoU_fg=0.9204
Image   122: pixAcc(this)= 99.51%  running pixAcc= 98.71%  IoU_fg=0.9207
Image   123: pixAcc(this)= 98.63%  running pixAcc= 98.71%  IoU_fg=0.9207
Image   124: pixAcc(this)= 96.14%  running pixAcc= 98.69%  IoU_fg=0.9194
Image   125: pixAcc(this)= 98.78%  running pixAcc= 98.69%  IoU_fg=0.9193
Image   126: pixAcc(this)= 98.90%  running pixAcc= 98.69%  IoU_fg=0.9195
Image   127: pixAcc(this)= 98.85%  running pixAcc= 98.70%  IoU_fg=0.9196
Image   128: pixAcc(this)= 97.22%  running pixAcc= 98.68%  IoU_fg=0.9191
Image   129: pixAcc(this)= 98.39%  running pixAcc= 98.68%  IoU_fg=0.9189
Image   130: pixAcc(this)= 98.68%  running pixAcc= 98.68%  IoU_fg=0.9191
Image   131: pixAcc(this)= 99.63%  running pixAcc= 98.69%  IoU_fg=0.9195
Image   132: pixAcc(this)= 99.24%  running pixAcc= 98.69%  IoU_fg=0.9199
Image   133: pixAcc(this)= 98.95%  running pixAcc= 98.70%  IoU_fg=0.9202
Image   134: pixAcc(this)= 98.51%  running pixAcc= 98.69%  IoU_fg=0.9200
Image   135: pixAcc(this)= 99.37%  running pixAcc= 98.70%  IoU_fg=0.9203
Image   136: pixAcc(this)= 98.10%  running pixAcc= 98.69%  IoU_fg=0.9201
Image   137: pixAcc(this)= 99.29%  running pixAcc= 98.70%  IoU_fg=0.9203
Image   138: pixAcc(this)= 98.39%  running pixAcc= 98.70%  IoU_fg=0.9202
Image   139: pixAcc(this)= 99.17%  running pixAcc= 98.70%  IoU_fg=0.9204
Image   140: pixAcc(this)= 99.39%  running pixAcc= 98.70%  IoU_fg=0.9206
Image   141: pixAcc(this)= 98.93%  running pixAcc= 98.71%  IoU_fg=0.9207
Image   142: pixAcc(this)= 99.02%  running pixAcc= 98.71%  IoU_fg=0.9206
Image   143: pixAcc(this)= 98.34%  running pixAcc= 98.71%  IoU_fg=0.9205
Image   144: pixAcc(this)= 98.90%  running pixAcc= 98.71%  IoU_fg=0.9205
Image   145: pixAcc(this)= 99.12%  running pixAcc= 98.71%  IoU_fg=0.9207
Image   146: pixAcc(this)= 98.00%  running pixAcc= 98.71%  IoU_fg=0.9206
Image   147: pixAcc(this)= 99.29%  running pixAcc= 98.71%  IoU_fg=0.9210
Image   148: pixAcc(this)= 98.97%  running pixAcc= 98.71%  IoU_fg=0.9210
Image   149: pixAcc(this)= 98.22%  running pixAcc= 98.71%  IoU_fg=0.9209
Image   150: pixAcc(this)= 98.58%  running pixAcc= 98.71%  IoU_fg=0.9210
Image   151: pixAcc(this)= 98.44%  running pixAcc= 98.71%  IoU_fg=0.9208
Image   152: pixAcc(this)= 99.24%  running pixAcc= 98.71%  IoU_fg=0.9210
Image   153: pixAcc(this)= 99.34%  running pixAcc= 98.71%  IoU_fg=0.9213
Image   154: pixAcc(this)= 98.27%  running pixAcc= 98.71%  IoU_fg=0.9212
Image   155: pixAcc(this)= 98.90%  running pixAcc= 98.71%  IoU_fg=0.9213
Image   156: pixAcc(this)= 99.22%  running pixAcc= 98.71%  IoU_fg=0.9215
Image   157: pixAcc(this)= 99.22%  running pixAcc= 98.72%  IoU_fg=0.9218
